provinsi,industri_unggul
Aceh,PPK
Sumatera Utara,PPK
Sumatera Barat,PPK
Riau,M
Jambi,PPK
Sumatera Selatan,PP
Bengkulu,PPK
Lampung,PPK
Kepulauan Bangka Belitung,M
Kepulauan Riau,M
DKI Jakarta,PO
Jawa Barat,M
Jawa Tengah,M
DI Yogyakarta,M
Jawa Timur,M
Banten,M
Bali,AM
Nusa Tenggara Barat,PPK
Nusa Tenggara Timur,PPK
Kalimantan Barat,PPK
Kalimantan Tengah,PPK
Kalimantan Selatan,PP
Kalimantan Timur,PP
Kalimantan Utara,PP
Sulawesi Utara,PPK
Sulawesi Tengah,M
Sulawesi Selatan,PPK
Sulawesi Tenggara,PPK
Gorontalo,PPK
Sulawesi Barat,PPK
Maluku,PPK
Maluku Utara,M
Papua Barat,M
Papua Barat Daya,M
Papua,K
Papua Selatan,K
Papua Tengah,PP
Papua Pegunungan,APJ
