Provinsi,Jumlah Sekolah SD (Negeri),Jumlah Sekolah SD (Swasta),Jumlah Sekolah SD (Negeri+Swasta),Jumlah Guru SD (Negeri),Jumlah Guru SD (Swasta),Jumlah Guru SD (Negeri+Swasta),Jumlah Murid SD (Negeri),Jumlah Murid SD (Swasta),Jumlah Murid SD (Negeri+Swasta)
Aceh,3335,197,3532,46800,2752,49552,451761,38102,489863
Sumatera Utara,8167,1584,9751,92997,18881,111878,1177930,346551,1524481
Sumatera Barat,3892,314,4206,43297,4789,48086,521822,70543,592365
Riau,3230,585,3815,43539,8985,52524,633978,142596,776574
Jambi,2304,160,2464,25356,2224,27580,333373,35247,368620
Sumatera Selatan,4249,470,4719,55364,5866,61230,792830,89181,882011
Bengkulu,1289,118,1407,15053,1809,16862,172400,22470,194870
Lampung,4297,429,4726,51980,5537,57517,715542,83350,798892
Kepulauan Bangka Belitung,761,72,833,8747,1028,9775,144910,16793,161703
Kepulauan Riau,683,299,982,9641,4791,14432,154046,73203,227249
DKI Jakarta,1305,919,2224,23977,15417,39394,540938,215517,756455
Jawa Barat,17104,2449,19553,177301,36958,214259,3891806,595456,4487262
Jawa Tengah,17298,1320,18618,152542,17330,169872,2280299,314751,2595050
DI Yogyakarta,1422,424,1846,14530,5567,20097,186752,83858,270610
Jawa Timur,16902,2078,18980,158554,24861,183415,2130520,400329,2530849
Banten,3853,757,4610,46259,12100,58359,1009060,194372,1203432
Bali,2254,155,2409,22807,2636,25443,342112,41504,383616
Nusa Tenggara Barat,3008,322,3330,40903,3030,43933,472151,40469,512620
Nusa Tenggara Timur,3396,1829,5225,38295,17082,55377,414756,248551,663307
Kalimantan Barat,4140,307,4447,36576,3539,40115,499855,63323,563178
Kalimantan Tengah,2414,236,2650,23254,2631,25885,232325,44096,276421
Kalimantan Selatan,2738,182,2920,27695,2444,30139,318461,34713,353174
Kalimantan Timur,1657,272,1929,22621,3795,26416,351594,67878,419472
Kalimantan Utara,437,48,485,5580,637,6217,69906,9971,79877
Sulawesi Utara,1347,862,2209,13936,5789,19725,135222,83601,218823
Sulawesi Tengah,2675,269,2944,26240,2190,28430,284498,27854,312352
Sulawesi Selatan,6070,364,6434,65654,4992,70646,809775,73378,883153
Sulawesi Tenggara,2256,91,2347,26646,916,27562,280639,13531,294170
Gorontalo,897,34,931,8291,323,8614,103429,4629,108058
Sulawesi Barat,1297,32,1329,13795,318,14113,138490,4810,143300
Maluku,1277,538,1815,14256,4115,18371,148862,58122,206984
Maluku Utara,1111,206,1317,11324,1363,12687,118277,22861,141138
Papua Barat,406,163,569,4014,1414,5428,48434,23303,71737
Papua Barat Daya,302,245,547,3505,1688,5193,35284,24943,60227
Papua,487,344,831,4745,2898,7643,67324,49512,116836
Papua Selatan,372,234,606,2792,1678,4470,56014,38962,94976
Papua Tengah,291,262,553,2890,2238,5128,70019,73033,143052
Papua Pegunungan,513,152,665,3050,1044,4094,109443,30722,140165
Indonesia,129436,19322,148758,1384806,235655,1620461,20244837,3802085,24046922
,,,,,,,,,
Catatan,,,,,,,,,
<sup>1</sup>Jumlah guru termasuk kepala sekolah dan guru/The total of teachers including headmaster and teacher 2 <sup>2</sup>Jumlah tidak termasuk sekolah luar negeri/Total does not include foreign schools,,,,,,,,,
