X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
13.0,19.65,26.05,18.5,14.94,46.17,17.01,10.6,20.74,151.23,235.69
21.37,22.57,22.79,21.12,19.29,50.06,21.57,16.77,30.96,157.21,287.18
24.61,15.76,13.11,13.89,25.38,52.21,18.93,20.62,32.68,166.5,258.42
18.99,22.61,18.07,26.57,22.85,51.34,18.95,14.52,29.83,163.93,263.28
23.93,22.56,23.3,22.38,19.06,48.96,18.17,19.68,33.91,157.49,301.51
22.06,18.33,21.21,17.55,19.69,50.67,16.53,17.33,27.02,164.32,283.69
20.88,11.71,16.59,24.74,17.09,54.03,27.34,16.31,32.24,173.84,244.1
15.72,20.19,17.85,22.77,18.5,41.31,12.93,11.47,35.76,136.21,244.58
19.24,17.66,21.96,22.45,28.14,54.11,22.7,15.54,26.84,174.23,260.92
21.02,19.88,16.52,16.18,21.31,55.42,18.91,16.04,32.27,181.07,264.26
18.17,21.21,22.02,26.45,20.33,50.01,20.23,15.57,25.78,160.08,270.56
21.74,14.56,20.39,22.74,13.36,46.59,24.51,17.09,36.95,152.44,255.16
17.67,25.36,14.64,19.38,18.22,52.16,17.52,14.53,26.97,168.21,260.6
23.27,20.88,17.29,16.09,18.79,47.12,12.56,19.67,33.23,154.9,262.8
22.69,19.77,25.14,16.43,21.4,50.18,14.3,18.67,30.37,160.0,309.43
19.58,21.47,27.42,21.48,15.08,56.01,20.93,16.08,28.82,178.66,266.19
17.87,13.24,17.65,20.88,19.99,43.09,18.75,15.24,31.85,141.63,237.19
24.12,16.6,23.53,12.79,21.57,48.1,18.79,18.29,36.08,156.96,261.83
18.25,22.08,19.48,18.44,19.81,46.26,21.04,14.62,27.78,147.39,249.68
15.53,20.86,13.9,23.32,19.45,54.29,21.12,12.37,25.86,174.55,210.65
26.48,23.67,17.38,24.46,16.36,45.95,16.39,20.97,43.0,150.08,307.1
26.17,18.6,20.37,11.55,17.27,46.92,15.49,20.49,36.04,148.18,279.93
18.99,22.14,18.06,19.11,23.03,50.66,21.7,15.86,30.99,159.17,260.53
16.63,19.53,15.57,16.36,14.68,54.06,23.6,12.39,24.51,173.88,217.71
20.74,23.02,15.57,20.9,13.81,48.98,20.52,16.59,25.12,154.24,248.46
23.75,15.76,21.71,19.42,19.87,45.41,16.85,19.87,31.48,144.83,265.59
22.92,23.64,19.9,25.22,15.33,52.44,22.74,18.11,33.2,168.37,289.73
25.45,20.74,18.87,26.0,16.83,45.73,20.49,19.92,38.25,149.61,280.95
18.7,16.83,23.46,20.79,11.22,47.5,15.24,14.68,30.78,153.13,238.2
20.22,24.02,19.22,26.62,20.01,49.46,16.05,17.51,27.64,159.89,276.2
20.89,22.5,17.58,17.4,25.15,55.94,31.63,16.33,23.2,176.49,273.33
14.23,20.24,23.58,19.87,23.21,47.25,18.44,11.83,24.42,146.42,230.44
16.97,13.75,19.91,16.12,16.09,52.29,18.9,13.77,31.07,166.73,231.66
23.27,19.69,12.94,16.45,22.9,52.15,16.87,20.52,32.85,165.69,275.25
23.0,24.93,15.76,20.88,15.4,59.98,22.32,17.56,39.22,187.53,284.05
18.18,16.58,21.33,20.65,20.6,55.2,22.68,15.08,20.54,173.28,238.19
24.76,14.13,22.26,21.34,13.23,53.65,27.0,20.24,38.28,171.13,273.06
13.24,13.81,19.19,23.62,18.51,47.61,17.66,10.26,24.45,153.73,237.81
14.57,21.66,20.13,17.36,26.44,51.52,19.45,11.17,22.55,164.59,250.31
15.07,26.32,18.19,21.36,25.17,52.95,16.78,11.85,20.24,170.4,256.25
17.82,14.94,24.33,25.78,17.65,54.57,20.08,14.48,21.51,173.85,249.92
17.33,19.56,15.73,14.35,18.8,51.1,17.58,13.48,26.48,164.25,213.45
20.03,18.14,18.92,19.06,23.75,47.01,22.86,15.67,29.81,149.83,255.07
17.55,21.82,26.4,17.17,11.22,64.27,32.12,15.64,24.13,205.84,264.05
25.2,15.86,22.71,15.84,17.61,50.56,20.94,20.11,31.35,163.5,275.63
13.07,23.53,23.14,18.99,20.48,48.49,16.36,10.83,17.63,156.19,228.95
16.07,19.72,23.16,19.68,10.45,51.02,20.0,14.03,25.74,162.27,239.83
21.43,20.13,9.37,24.48,20.55,46.56,18.15,16.69,36.31,154.47,252.92
13.55,21.27,15.13,33.2,17.66,52.57,24.38,10.36,22.61,167.03,213.83
25.88,22.58,22.44,19.97,20.33,45.5,16.7,20.09,40.28,145.8,288.5
15.25,12.39,18.65,20.49,26.32,52.05,19.94,13.02,27.01,166.1,229.3
17.8,17.35,19.07,20.6,19.34,52.09,18.62,13.6,25.85,162.18,242.1
16.24,17.37,23.14,22.29,20.4,53.75,22.77,11.84,27.61,168.17,240.95
16.69,26.78,31.46,14.6,21.9,54.64,26.13,12.99,33.29,175.95,272.96
20.44,20.03,25.98,19.38,24.84,63.11,26.21,15.36,27.44,196.87,288.59
22.03,24.26,22.64,24.03,24.31,55.07,22.69,17.35,30.48,172.4,285.16
16.55,18.16,23.23,17.91,17.31,48.09,19.26,12.83,27.8,151.83,236.09
25.0,20.94,31.75,19.38,18.9,48.24,18.39,19.16,43.5,153.5,310.48
19.68,25.67,13.3,20.95,16.16,41.91,10.26,16.31,27.63,134.55,246.2
16.44,19.05,14.58,19.49,25.39,53.12,16.7,13.41,27.85,168.25,245.44
16.47,23.12,15.4,18.73,19.73,50.68,17.27,12.76,27.08,164.1,256.26
20.07,19.29,22.03,18.13,19.3,56.28,21.93,16.07,27.36,180.02,263.21
20.95,22.79,20.2,23.02,16.73,47.64,24.09,15.74,27.96,151.45,274.85
20.05,29.12,26.35,20.02,19.23,49.45,17.75,15.6,31.69,160.66,302.03
13.46,21.94,18.76,13.37,20.98,48.58,20.3,9.85,28.18,156.17,224.69
15.82,18.36,22.13,19.39,19.83,55.78,24.71,12.04,26.72,171.58,246.08
22.45,17.52,26.71,18.33,18.95,40.52,17.72,18.6,29.82,128.3,278.62
22.94,19.04,13.58,18.74,26.47,47.86,17.97,18.91,33.02,152.49,264.43
24.11,20.27,20.39,19.7,23.17,47.65,24.55,19.86,37.34,153.63,270.58
14.27,14.06,29.87,13.01,19.67,52.42,23.26,11.51,24.9,167.57,234.01
12.64,24.21,20.01,25.8,12.54,38.23,10.2,9.89,28.48,124.32,228.84
21.46,24.47,20.53,29.53,20.68,48.27,24.37,16.29,31.55,155.23,274.43
18.67,21.32,17.71,15.14,16.6,53.42,21.22,14.88,27.9,174.09,246.12
17.24,20.89,16.11,22.65,14.28,57.07,24.48,13.95,24.92,180.22,248.7
28.14,22.21,16.8,21.41,17.99,46.32,13.11,22.99,36.76,146.78,309.08
17.8,24.21,17.98,17.31,27.07,47.38,20.66,14.02,26.22,151.03,238.82
23.0,23.51,14.33,24.52,19.14,53.01,19.39,18.41,34.57,166.31,263.19
14.77,17.05,17.43,22.17,30.15,47.77,23.44,12.68,25.13,151.44,212.89
22.32,16.92,12.26,13.14,17.63,54.24,21.54,19.02,25.08,170.47,239.18
15.58,20.72,21.15,22.85,21.31,49.84,20.66,12.29,25.06,160.58,246.19
22.76,18.49,21.4,23.83,17.85,57.92,24.79,17.67,28.09,186.28,270.24
22.75,24.44,14.25,23.18,19.24,47.31,20.69,18.23,37.74,150.0,273.08
13.73,19.61,14.45,23.63,27.59,47.0,23.75,10.77,24.38,152.36,227.22
23.62,18.6,14.26,20.94,18.61,42.79,15.78,19.34,37.38,140.17,270.42
23.12,23.28,27.52,17.87,15.71,44.16,15.06,18.52,31.0,145.57,297.57
21.71,14.91,22.72,24.72,14.05,46.93,17.66,17.32,26.64,150.57,239.26
20.44,8.35,26.91,21.78,22.81,54.97,26.38,15.7,29.73,175.82,260.94
20.11,21.39,22.28,22.9,9.54,52.5,22.85,15.84,30.68,165.45,269.36
17.68,21.9,14.31,21.9,16.11,46.12,13.16,14.38,27.17,148.81,237.52
15.2,21.29,23.05,18.41,16.0,49.49,26.05,11.8,29.62,160.33,242.55
13.18,20.19,28.14,18.8,16.46,44.11,16.12,11.11,21.37,142.43,226.49
21.48,19.38,17.27,31.75,26.57,45.91,21.53,16.03,35.34,149.79,308.13
27.51,16.04,14.5,21.36,25.05,45.03,17.08,21.5,34.2,148.09,296.6
18.49,24.5,20.99,14.77,21.65,53.96,19.35,14.37,28.53,170.66,260.75
27.33,18.17,24.5,27.96,21.99,46.7,23.21,21.86,37.68,149.62,287.29
20.01,19.05,18.69,20.98,24.02,55.08,23.38,15.69,29.34,176.63,259.82
19.7,23.02,24.36,24.16,24.13,46.75,20.68,16.37,30.11,149.06,271.1
20.02,21.26,17.57,14.87,20.84,48.04,19.27,15.84,24.86,158.04,243.87
19.26,20.16,21.39,25.61,23.24,53.01,23.22,14.86,36.43,167.8,283.03
10.05,22.37,18.74,18.98,16.12,47.92,19.92,7.47,22.71,153.19,193.69
13.18,26.17,20.49,24.94,25.5,48.6,18.61,10.75,25.26,158.84,250.3
15.45,23.05,18.82,16.67,14.85,51.23,23.87,12.28,22.81,162.76,240.16
8.11,17.16,18.28,15.17,22.7,50.96,21.1,6.84,25.15,160.8,203.57
20.13,19.24,24.42,15.06,21.52,46.26,20.41,16.77,32.11,149.72,275.51
19.0,18.06,23.22,18.65,23.11,46.77,17.25,15.96,31.42,152.47,258.49
18.2,18.53,31.65,25.25,23.15,45.12,18.6,14.61,31.01,145.75,274.75
20.53,34.26,13.05,21.4,14.18,52.72,20.39,15.73,25.99,171.44,288.03
20.09,26.56,25.3,20.99,21.37,46.7,22.67,16.46,33.06,151.0,279.45
21.27,18.07,19.55,23.79,19.03,55.61,22.39,17.36,40.07,177.29,266.86
16.99,22.78,21.04,19.24,21.72,46.15,14.0,13.74,23.43,151.56,239.86
14.81,19.19,19.67,23.9,17.49,49.49,21.33,11.13,22.45,161.15,238.48
20.38,18.92,24.56,17.08,15.58,46.74,21.62,15.94,28.48,151.96,265.07
18.31,20.8,14.27,21.18,23.66,48.09,18.47,14.86,23.64,154.1,248.23
15.26,18.55,26.41,14.18,16.19,49.31,16.25,11.63,23.98,159.07,236.72
18.54,12.73,30.31,12.38,18.82,49.28,20.02,14.74,26.53,158.89,245.76
14.92,12.6,13.89,17.14,21.3,43.17,15.53,11.87,27.2,140.17,195.96
26.34,24.8,25.48,18.0,25.43,51.17,20.09,19.71,34.74,161.25,310.97
22.77,19.41,23.14,18.91,23.91,50.6,23.18,17.97,35.4,160.59,285.59
12.17,24.0,22.26,18.73,19.46,46.75,7.31,9.26,20.63,147.2,230.15
19.46,20.88,19.85,23.93,18.71,49.04,22.62,15.4,36.3,156.31,261.65
13.84,18.1,16.27,19.34,12.28,49.6,24.56,10.72,26.34,161.96,202.23
28.19,14.35,20.47,17.46,21.03,51.15,16.68,22.37,36.77,161.47,288.41
14.41,22.27,23.72,23.08,14.93,39.79,18.12,12.9,19.76,129.0,229.28
15.61,17.66,16.82,21.35,9.26,49.45,23.63,12.18,25.72,156.96,238.99
19.05,23.18,18.11,18.92,19.31,47.62,23.28,14.37,29.38,151.26,267.25
14.28,22.26,13.53,21.21,18.96,48.25,19.16,12.35,25.04,153.57,232.5
23.8,19.12,20.12,25.49,18.97,54.69,16.79,18.93,36.31,174.33,278.43
19.92,17.39,17.62,22.87,14.93,43.83,15.87,16.29,33.25,144.55,253.97
23.58,16.07,23.12,16.62,18.76,46.99,21.57,18.88,30.17,154.16,265.05
23.04,15.78,23.92,20.43,21.02,53.96,17.43,18.04,37.61,175.24,279.38
14.01,16.84,23.58,16.99,16.86,50.31,18.01,10.63,25.21,160.26,214.64
15.22,22.73,22.29,22.12,24.76,44.9,18.24,11.97,20.76,148.11,246.45
25.19,23.25,22.09,17.07,25.8,50.31,16.51,19.75,33.4,159.5,301.85
23.81,18.24,28.78,23.98,13.8,41.75,13.49,17.67,32.45,136.51,282.34
15.13,18.41,16.61,23.34,25.46,49.4,20.63,12.51,27.63,159.47,232.12
19.37,19.8,19.02,12.32,23.1,51.47,22.26,15.18,32.19,162.92,260.72
13.97,27.66,22.18,16.58,19.13,54.83,19.21,10.97,23.68,176.88,244.34
20.43,22.17,27.63,26.09,16.43,50.69,25.48,15.79,30.61,162.96,266.79
22.99,19.22,26.4,24.86,11.21,43.47,15.88,18.67,30.55,139.85,292.99
21.72,20.59,25.69,11.86,17.25,45.17,22.96,17.79,36.61,146.03,270.02
14.34,15.43,16.06,23.11,19.42,53.85,18.14,11.39,20.25,169.71,220.07
17.44,12.86,15.32,10.67,18.06,43.03,17.39,14.29,25.94,135.6,218.22
23.12,29.36,16.96,24.18,16.39,51.59,20.75,17.97,33.63,162.29,272.64
18.25,17.32,24.81,22.27,20.93,44.2,19.66,14.39,31.98,143.84,242.43
28.3,23.77,20.67,17.51,15.42,44.86,21.38,22.83,39.42,141.11,301.81
