Provinsi,Jumlah Sekolah SMP (Negeri),Jumlah Sekolah SMP (Swasta),Jumlah Sekolah SMP (Negeri+Swasta),Jumlah Guru SMP (Negeri),Jumlah Guru SMP (Swasta),Jumlah Guru SMP (Negeri+Swasta),Jumlah Murid SMP (Negeri),Jumlah Murid SMP (Swasta),Jumlah Murid SMP (Negeri+Swasta)
Aceh,903,391,1294,20210,4047,24257,153398,48788,202186
Sumatera Utara,1339,1348,2687,32185,13543,45728,411355,210727,622082
Sumatera Barat,675,183,858,15624,2315,17939,177358,24144,201502
Riau,874,395,1269,16457,4562,21019,204418,56952,261370
Jambi,558,150,708,9964,1498,11462,98709,21047,119756
Sumatera Selatan,908,530,1438,21469,5004,26473,287347,69133,356480
Bengkulu,380,77,457,7507,828,8335,76883,8619,85502
Lampung,709,746,1455,17221,7097,24318,242619,94325,336944
Kepulauan Bangka Belitung,163,69,232,3197,691,3888,53607,9605,63212
Kepulauan Riau,236,179,415,4476,1990,6466,75301,23918,99219
DKI Jakarta,293,777,1070,10622,9220,19842,212200,135658,347858
Jawa Barat,1982,3963,5945,55328,41874,97202,1140073,676108,1816181
Jawa Tengah,1772,1674,3446,52093,18462,70555,926618,281686,1208304
DI Yogyakarta,214,240,454,5570,3287,8857,92471,40084,132555
Jawa Timur,1737,3259,4996,48692,31692,80384,811528,418894,1230422
Banten,573,1029,1602,14256,10090,24346,277317,164556,441873
Bali,277,127,404,9389,1759,11148,159809,26194,186003
Nusa Tenggara Barat,604,459,1063,17543,4333,21876,133977,39980,173957
Nusa Tenggara Timur,1380,453,1833,25281,5884,31165,241833,74983,316816
Kalimantan Barat,1030,347,1377,14154,2773,16927,186019,43911,229930
Kalimantan Tengah,714,153,867,8968,1414,10382,86866,18636,105502
Kalimantan Selatan,522,105,627,8333,1167,9500,98906,13883,112789
Kalimantan Timur,458,239,697,8681,2269,10950,129945,31929,161874
Kalimantan Utara,156,39,195,2531,361,2892,29278,3815,33093
Sulawesi Utara,478,255,733,7839,1909,9748,74181,24159,98340
Sulawesi Tengah,734,143,877,11115,1021,12136,101706,11527,113233
Sulawesi Selatan,1269,444,1713,25938,4248,30186,278068,53082,331150
Sulawesi Tenggara,694,95,789,13501,803,14304,108768,8034,116802
Gorontalo,313,29,342,4156,232,4388,39019,2406,41425
Sulawesi Barat,319,59,378,5260,445,5705,46261,4961,51222
Maluku,552,144,696,9001,1503,10504,73152,16284,89436
Maluku Utara,373,146,519,5714,1102,6816,46391,13331,59722
Papua Barat,124,40,164,1951,529,2480,20785,6684,27469
Papua Barat Daya,123,58,181,2050,588,2638,17856,6794,24650
Papua,189,80,269,3093,896,3989,38710,12378,51088
Papua Selatan,94,36,130,1592,465,2057,20959,6633,27592
Papua Tengah,101,70,171,1619,768,2387,27354,13250,40604
Papua Pegunungan,152,45,197,1641,363,2004,32795,9018,41813
Indonesia,23972,18576,42548,524221,191032,715253,7233840,2726116,9959956
,,,,,,,,,
Catatan,,,,,,,,,
<sup>1</sup>Jumlah guru termasuk kepala sekolah dan guru/The total of teachers including headmaster and teacher ,,,,,,,,,
<sup>2</sup>Jumlah tidak termasuk sekolah luar negeri/Total does not include foreign schools,,,,,,,,,
