id,video,emotion,transcription
1,https://www.instagram.com/reel/DNKcHgdA-d1/?igsh=MWFxdnhjbzh1YmdhYw%3D%3D,Surprise," Tau gak rumah tradisional Laos kayak gimana? Kayak gini... Jadi selama di Laos, kita ngirim di Kuntar Residence Dimana tempat menginatnya itu di rumah tradisional Laos Atau disebut dengan Hong Song Lao Hong Song Lao Ya begitulah pokoknya Jadi rumah ini adalah rumah panggung yang terbuat dari kayu hardwood atau kayu keras Bisa dari berbagai macam Dan fondasinya itu ditanam sampai ke bawah Rumah yang dipakai di Kuntar Heritage ini adalah rumah lama Yang usianya sudah lebih dari 100 tahun Kemudian dipindah ke sini Dan kayunya itu masih bagus Hanya saja di treatment ulang Biar lebih kuat dan tahan lama Meskipun dari luar terlihat dari kayu Ketika masuk ke dalam, wah ini mewah dan nyaman boi Kenapa jadi kayak jago? Tipik yang kita pilih adalah dua kamar Dimana kamarnya gede-gede Kasurnya enak Udah gitu, tiap kamar ada kamar mandinya Ada dua wastafel tiap kamar mandi Dan ada bedtapnya cuuuiii Terus buat kalian yang hobi masak Ini juga dilengkapi dengan dapur Besar, lengkap dengan kompor, rice cooker, microwave Hingga toaster buat kita bikin roti Dan di bagian bawahnya kita juga dapat mesin cuci Sama kalau kita mau cuci-cuci ada sinknya di sini Jadi ini cocok banget buat yang bawa keluarga Dan mau stay berlama-lama di sini Nah pertanyaannya berapa biaya aja Untuk yang tipe dua kamar yang kita pakai Itu semalamnya 80 USD Untuk yang tipe satu kamar, bukan studio ya Satu kamar itu 60 USD Dan buat temen-temen yang pengen cari makanan Di depannya persis ada restoran rempah Indonesia Makanan Indonesia yang enak-enak banget Sebenernya kalau dilihat-lihat Mirip gak sih sama rumah adat daya Kalimantan? Tapi bedanya apa ya? Kalau ada yang tau, coba komen di bawah Berayang di di laos"
2,https://www.instagram.com/reel/DNHwrh2gnBm/?igsh=YTg3cGIycGtqbG51,Surprise," Wang Ninian Jurdi episode berikutnya akan dimulai Sekarang kita di Laos dan kita sudah ngambil mobil kita Seri Duo Tigo, Tigo 8 Pro Max, dan Tigo 8 yang Comfort Nah pertanyaannya, gimana caranya mobil bisa kita titip di Laos? Jadi kemarin kita dari Malaysia, Singapura, Thailand, Kamboja, Laos, terus Vietnam Mobil kita tinggal di Laos selama 2 bulan, emang bisa? Jawabannya, enggak Jadi untuk masuk ke Laos, kita itu nggak perlu pakai CPD Carne Karena Laos punya permitnya sendiri seperti ini Dan kita harus urus ini sebelum masuk ke Laos Untungnya kita menggunakan agent Agent sudah mengurus semua ini Dan kita wajib membayar sekitar 100 USD per mobil Jadi untuk 2 mobil, kita membayar 200 USD Tapi permitnya hanya berlaku untuk 1 bulan saja Sayangnya permitnya kan cuma 1 bulan Gimana caranya biar jadi 2 bulan? Kita coba carilah caranya Kita kontak KBRI biar cukai agent termasuk juga ceri yang ada di Laos Ternyata memang tidak bisa diperpanjang jadi 2 bulan Akhirnya kita melakukan sesuatu yang legal Dan kalian bisa tidur cara ini Sebelum permitnya genap 1 bulan Gue mengirim Pala dan Rahmat untuk ke Laos dan mengeluarkan mobilnya ke Thailand Kemudian sampai Thailand mobilnya harus masuk lagi ke Laos Sehingga dia dapat permit lagi, renewal, 1 bulan lagi Emang sih agak mahal karena gue harus kirim 2 orang ke sini Ditambah untuk masuk ke Laos, nambah lagi 100 USD untuk per mobil Jadi kita ngeluarin 200 USD lagi Tapi itu cara yang menurut gue paling aman dan legal Setelah itu mobil kita taruh lagi, titip lagi di ceri Laos Setelah itu kita balik ke sini, kita mulai perjalanan ke China Memang mahal tapi itulah resiko overland Jadi buat teman-teman, kalau misalkan kalian mau overland ke luar negeri Menggunakan mobil dari plat B Sebisa mungkin ikutip peraturan dan undang-undang yang berlaku Jangan melanggar Karena nanti urusannya bisa repot Bahkan kita bisa ngelepotin KBRI dan mencorek nama Indonesia Kalau overland pasti ada aja kejadian-kejadian yang di luar dari perkiran kita Sebisa mungkin carilah cara yang legal Buat teman-teman yang pengen tahu dan ikutin keseruan kita pas lagi overlanding Bisa langsung aja follow aku ini Gas!"
3,https://www.instagram.com/reel/DM7QsjnRCoa/?igsh=NDQ1NW11a2ZiZW1y,Surprise," Pepaya di rumah gue tuh agak aneh ya biasanya pewarna Pepaya tuh kan lurus ke atas, gak bercabang tapi kita lihat di sini ini Pepaya nya cabang 3 lihat, 1, 2, 3 terus ada batang lagi yang ngebutlet di sini agak aneh, tuh ini dia kayak ngebutlet gitu bercabang lagi, ya disini ada percabangan lagi bahkan di sebelah sana tuh ada percabangan banyak tuh 1, 2, 3, 4, 5 dan tiap cabangnya itu ada daunnya sama ada Pepayanya tuh banyak banget Pepayanya sampai ke atas banyak banget gue semua hidup baru pertama kali ketemu Pepaya yang kayak gini dan uniknya ada di rumah sendiri, kenapa bisa kayak gitu ya gue juga gak ngerti enak gue nya"
4,https://www.instagram.com/reel/DNBBEt6Paxj/?igsh=MTB2bXgyMHhwaHI4dA%3D%3D,Surprise," Udah sekitar 2 bulan ini, sampah organik di rumah kita olah pakai ini. Ini namanya Compost It. Jadi dia adalah alat penggiling sampah organik. Dan nanti hasilnya jadi kering. Bekas buah, bekas nasi, even sampai tulang-tulang ya, tapi kalau tulang yang gede masih dipecahin dulu. Terus nanti di sini akan digiling, kemudian nanti akan dikeringkan, dan hasilnya itu nggak ada bau dan nggak mengundang lalat atau serangga dan macem-macem ya. Bisa dijadikan lupu kompos atau media tanam secara instant. Nggak perlu ditunggu lama pembusukan dan kawan-kawan apalagi dimasukin jadi biopori. Ini benar-benar instant. Caranya gampang banget kalau kita punya sampah, langsung aja dimasukin ke sini. Nih kita tunjukin caranya. Ini pertama ada sampah sisa tulang ayam. He.. bau. Kemudian ada sisa bekas bikin jus pakai slow juicer ya. Ini ada kulit jeruk, sisa bekas matoa, bekas anggur. Wow, langsung kita masukin saja. Sekarang kita langsung tutup aja. Set, wuh langsung otomatisnya lah. Oke, kita pencet aja on off-nya. Dia.."
5,https://www.instagram.com/reel/DMz13fQzZsN/?igsh=MWxxcDA3N2VsenpnZw%3D%3D,Proud," jadi ini dia, mobil yang akan kita pakai buat road party nanti baik BJ40 plus yang sudah dipodifikasi dan kalau kalian lihat, atasnya sudah kita buka pintu sudah diganti bumper juga sudah kita ganti dan yang paling keren menurut saya adalah pemilihan velg sama bannya nah velg kita pakai black rhino motifnya itu seperti army style di mana dia punya pelindung di bagian sampingnya ini bisa dicopot dan bisa dipasang kalau misalkan kita sedang berjalan berbatu terus baret-baret, ini bisa kita ganti tidak harus ganti sama velg-velg nya dan untuk bannya"
6,https://www.instagram.com/reel/DMz1mj7s6u7/?igsh=MXQzN3ZoNWZsMGk5cg%3D%3D,Surprise," Bapak ini jualan mi ayam 4000 rupiah tapi bisa beli tanah untuk ke 6 anaknya Perjalanan kulinder keklaten kali ini tidak hanya membuat perut gua kenyang Tapi gua juga bisa mendapatkan pelajaran hidup dari Bapak Zurok Sang penjual mi ayam dengan harga murah Jualan ini, walaupun untungnya sedikit Tapi orang itu kalau gak punya hutang Makannya apapun enak, hidurnya nyanyiak Oh my God Anaknya 6 mentah semuang, sekolah semuang Sekolah semuang, wah luar biasa Tapi dikit ya, dikit ya, beli tanah lah Gak panas kan, enggak semua Tapi udah ke kanan Jadi tiap anak udah beli tanah Bukan Bukan, beliin Beliin Ditemani Ridwan Hanif, kita penasaran banget dengan harga 4000 rupiah Kira-kira apa saja sih isinya dan gimana ya rasanya Sebenarnya 4000-nya kalau diklaten itu ya oke lah Oke ya, kurang Tapi ada baklunya Ada topping ayamnya Ayamnya juga banyak Ayamnya juga banyak Sayur Makan cuy Enak ya? Enak sih Enak untuk 4000, itu harganya 4000 Jawabannya komnen Kalau lu makan nih ayam harganya 4000 Please jangan banyak, protek Kenapa nya nih, makannya pahala juga sih kembali jualan Betul? Teragihatan Sebenarnya masih banyak cerita tentang Bapak Suro Jadi buat yang penasaran Tonton saja video lengkapnya di YouTube channel Next Carlos"
7,https://www.instagram.com/reel/DMzlY-uxiog/?igsh=bGthOTk2Mm52YTJl,Proud," Dibuat Woolling Gias 2025 ini ramai sekali karena baru saja kita melakukan pengumuman pemenang dari Kepetisi bisnis Move Your Hustle bersama Woolling Mitra EV Ya, ini artisiasmennya luar biasa banget menurut saya Minggu lalu kita tuh melakukan penjurian itu lebih kayak Investor Day Jadi kayak ayo invest di tempat kita gitu Karena meyakinkan semua Selamat ya Paya Dadah Kebetulan saya adalah jurinya dan kemarin sekitar beberapa minggu lalu kita sudah melakukan penjurian itu seru banget Kayak Investor Day dibandingkan sebuah kompetisi bisnis Rasa aja kayak kita pakai chip-in ke dalam Di sini kita juga bisa lihat Woolling Mitra EV yang sudah dimodifikasi sesuai dengan kebutuhan bisnis anda Gue berharap dengan area kompetisi ini itu bisa memunculkan usaha-usaha baru yang nggak cuma mikir bisnisnya keren doang Tapi juga sustain dan bisa berkembang di jangka panjang Jangan lupa buat teman-teman yang penasaran dengan Woolling Mitra EV bisa cek website Woolling di woolling.id"
8,https://www.instagram.com/reel/DMuCyqkJwwB/?igsh=eTg2ZWtyYTF4ZWxh,Proud," Sebelumnya, peserta top 10 move your hustle, business on the go competition, sudah mempresentasikan proposal ide bisnisnya. Kini juri akan berdiskusi untuk memilih pemenangnya. 10 ide bisnis, 3 juri ahli, satu misi mencari 3 terbaik. Kreativitasnya itu benar-benar diluar nalar. Banyak sekali ide-ide yang kalau menurut saya itu bisa sangat mudah diaplikasikan dan bisa dibantu dengan kehadiran Wheeling Mitra EV. Korelasi yang sangat menarik antara Wheeling EV dengan bisnis-bisnis keserta tadi. Misalkan bagaimana mengandalkan renewable energy, mengandalkan bagaimana sustainable environment. Overall semua desainnya menarik ya dan mereka itu punya utility masing-masing menjadikan mobil ini unik, custom dan memang sudah disesuaikan dengan bisnisnya. Setelah melihat semua ide bisnis, akhirnya kami menemukan pemenangnya. Siapakah top 3 move your hustle? Tunggu pengumumannya di 31 Juli pada saat Gias 2025."
9,https://www.instagram.com/reel/DMrSfkGzVwK/?igsh=MTY5aXFxNW8yejhwcA%3D%3D,Trust," harga misubisi destinator akhirnya diumumkan di Gias 2025 dan harganya mulai dari Rp385.000.000 saja kalian sudah bisa mendapatkan mesin 1500cc turbo dan transmisi CVT automatic nah kalau pengen yang lebih tinggi, tipe exit itu di Rp405.000.000 dan tipe ultimate yang tertinggi itu di Rp465.000.000 nah ada juga varian yang premium di mana harganya Rp30.000.000 lebih mahal dibandingkan dengan si tipe ultimate biasa nah ini kebetulan kita masuk ke dalam yang ultimate premium bedanya apa aja, kalau ultimate premium kita dapat power backdoor terus dapat electric seat sama audionya sudah pakai Yamaha premium sound tapi kalau kalian beli misubisi destinator Solar guard sudah dipercaya misubisi untuk menjadi kaca film OEM dari misubisi destinator jadi langsung dapat kaca film solar guard yang bisa bikin adem dan tampilan mobil jadi lebih keren solar guard sendiri merupakan bagian grup dari Saint Gobet yang berusia sudah lebih dari 360 tahun sedangkan solar guard sendiri di Indonesia itu sudah 30 tahun lebih ada di sini solar guard sendiri memberikan garansi 5 tahun sudah gitu, dia ada banyak ada di 76 kota di Indonesia dan ada 167 outlet yang bisa kalian datangi jadi gimana, asik kan? setiap pembelian destinator sudah langsung dapat kaca film solar guard ready to feel comfortable to your next destination"
10,https://www.instagram.com/reel/DMozK27xS7J/?igsh=d25seXltcmc2MWpq,Surprise," Jadi selama kita di Thailand, Overland, kita tuh sering banget ketemu MiUX yang varian facelift terbaru ini Gue nanya-nanya kapan ya masuk Indonesia ya Dan akhirnya di Gia sekali ini, nah, Isuzu melouncing Isuzu MiUX yang varian facelift Apa aja yang beda? Dari depan kita akan menemukan bentuk depan yang baru Lampunya baru, grillnya baru, bumpernya baru Dan juga logo Isuzunya sekarang ada di atas grill seperti ini Kemudian ke bagian belakangnya, dia punya lampu belakang baru Yang detailnya cakep sama dia bagian sini nya nyambung, mika nya Nah ke bawah kita dapat bumper model baru Ada diffusornya di bagian sini sama kalau kita lihat ke bagian kaki-kakinya Yang memedakan MiUX dengan kompetitornya adalah Dia punya multi link suspension bukan cuma 3 atau 4 link Tapi 5 link sekaligus Jadi pas kita pakai jalan, dia lebih nyaman, lebih stabil Dan ketika dipakai offload, dia juga lebih mantap Dari segi mesin, dia tetap mempertahankan mesin 1900cc yang sudah teruji bundle Dan iri tentunya Tenaga nya 150 PS dan torsinya 350 Nm Disambungkan dengan transmisi Matic 6 percepatan Dan dia juga memiliki penggerak 4WD Dimana bisa diatur secara elektrik dan shift on fly Kemudian dari segi interiornya, kita akan menemukan kursi yang nyaman untuk berjalan jauh Transmisi otomatik dengan tiptronic Ada elektronik parking brake dan ada auto hold Kemudian untuk mengatur 4WDnya, ada di bagian sini kita bisa atur 2H, 4H, atau tekan untuk jadi 4L Sama ada mode offload Dan dia juga sudah dilengkapi dengan Heel Descent Control Untuk ruang kabin tengah dan belakangnya, dia juga yang paling lega di kelasnya Udah gitu, kita tetap dapat AC di atas pelafon Nggak cuma di tengah tapi di belakang juga Tapi yang paling spesial dari Isuzu MiUX itu adalah kemampuan offloadnya Dia punya travel suspension yang tinggi dan ground clearance yang tinggi Serta water wading yang paling bagus di kelasnya Sehingga kalau kita pakai offload atau bedan-bedan berat, dia bisa diadalkan Nah, buat teman-teman yang penasaran dan pengen lihat langsung Bisa ke GIAZ 2025 karena boot Isuzu ada di Hall 1 Langsung aja ke sini dan kalian bisa tes drive juga mobil ini di tempat tes drive-nya Nah, penasaran kan? Langsung gas, nggak pakai lama ke boot-nya Isuzu di GIAZ 2025"
