id,video,emotion,Text,transcription
1,https://www.instagram.com/reel/DNKcHgdA-d1/?igsh=MWFxdnhjbzh1YmdhYw%3D%3D,Surprise,"Tau nggak rumah tradisional Laos kayak gimana? Kayak gini! Jadi selama di Laos, kita ngirip di Kunta Residence, di mana tempat penginapnya itu di rumah tradisional Laos, atau disebut dengan Hong Song Lao. Hong Song Lao. Ya, begitulah pokoknya. Jadi rumah ini adalah rumah panggung yang terbuat dari kayu hardwood atau kayu keras. Bisa dari berbagai macam, dan fondasinya itu ditanam sampai ke bawah.Rumah yang dipakai di Kuntah Heritage ini adalah rumah lama yang usiannya sudah lebih dari 100 tahun kemudian dipindah ke sini. Dan kayunya itu masih bagus hanya saja di treatment ulang biar lebih kuat dan tahan lama. Meskipun dari luar terlihat dari kayu, tapi pas masuk ke dalam, wah ini mewah dan nyaman, Boy. Kenapa jadi kerja jago? Tipi yang kita pilih adalah dua kamar, di mana kamarnya gede-gede. Kasurnya enak, udah gitu tiap kamar ada kamar mandinya, ada dua wastafel tiap kamar mandi, dan ada bathtubnya cuy. Terus buat kalian yang hobi masak, dia juga dilengkapi dengan dapur besar, lengkap dengan kompor, rice cooker, microwave, hingga toaster buat kita bikin roti dan di bagian bawahnya kita juga dapat mesin cuci sama kalau kita mau cucu-cuci ada sinknya di sini jadi ini cocok banget buat yang bawa keluarga dan mau stay berlama-lama di sini nah pertanyaannya berapa biayanya ? Untuk yang tipe dua kamar yang kita pakai itu semalamnya 80 USD untuk yang tipe satu kamar bukan studio ya satu kamar itu 60 USD dan buat temen-temen yang pengen cari makanan, di depannya persis ada restoran rempah Indonesia. Makanan Indonesia yang enak-enak banget. Sebenernya kalau dilihat-lihat mirip nggak sih sama rumah adat Dayak Kalimantan? Tapi bedanya apa ya? Kalau ada yang tahu, coba komen di bawah. Bedanya ini di Laos."," tau gak rumah tradisional laos kayak gimana? kayak gini! jadi selama di laos kita ngirep di kunta residense dimana tempat menginaannya itu di rumah tradisional laos atau disemput dengan Hongsang Laos Hongsang Laos ya begitu lah pokoknya jadi rumah ini adalah rumah panggung yang terbuat dari kayu, hardwood atau kayu keras bisa dari berbagai macam dan fondasinya itu ditanem sampai ke bawah rumah yang dipakai di kunta herite sini itu adalah rumah lama yang usia ini sudah lebih dari 100 tahun kemudian dipindah ke sini dan kayunya itu masih bagus hanya saja di treatment ulang biar lebih kuat dan tahan lama meskipun dari luar terlihat dari kayu tapi pas masuk ke dalam wah ini mewah dan nyaman boy kenapa jadi kejajago? tipi yang kita pilih adalah 2 kamar dimana po amaran guli guli hasurnya enak sudah gitu, tiap kamar ada kamar mania ada 2 wastafel tiap bagian rambut dan ada betapnya cuy terus buat kalian yang hobi masak bisa juga dilengkapi dengan dapur besar, lengkap dengan kompor rice cooker, microwave hingga toaster buat kita bikin roti dan di bagian bawahnya kita juga dapat mesin cuci sama kalau kita mau cuci-cuci ada singnya di sini jadi ini cocok banget buat yang bawa keluarga dan mau tinggal lama di sini pertanyaannya berapa biaya? untuk yang tipe 2 kamar yang kita pakai itu semalamnya 80USD untuk yang tipe 1 kamar bukan studio ya, 1 kamar itu 60USD dan buat temen-temen yang pengen cari makanan di depannya ada restoran rempah Indonesia makanan Indonesia yang enak-enak banget sebenernya kalau dilihat mirip gasis sama rumah adat daya kalimantan tapi beda nya apa ya? kalau ada yang tau, coba komen di bawah"
1,https://www.instagram.com/reel/DNKcHgdA-d1/?igsh=MWFxdnhjbzh1YmdhYw%3D%3D,Surprise,"Tau nggak rumah tradisional Laos kayak gimana? Kayak gini! Jadi selama di Laos, kita ngirip di Kunta Residence, di mana tempat penginapnya itu di rumah tradisional Laos, atau disebut dengan Hong Song Lao. Hong Song Lao. Ya, begitulah pokoknya. Jadi rumah ini adalah rumah panggung yang terbuat dari kayu hardwood atau kayu keras. Bisa dari berbagai macam, dan fondasinya itu ditanam sampai ke bawah.Rumah yang dipakai di Kuntah Heritage ini adalah rumah lama yang usiannya sudah lebih dari 100 tahun kemudian dipindah ke sini. Dan kayunya itu masih bagus hanya saja di treatment ulang biar lebih kuat dan tahan lama. Meskipun dari luar terlihat dari kayu, tapi pas masuk ke dalam, wah ini mewah dan nyaman, Boy. Kenapa jadi kerja jago? Tipi yang kita pilih adalah dua kamar, di mana kamarnya gede-gede. Kasurnya enak, udah gitu tiap kamar ada kamar mandinya, ada dua wastafel tiap kamar mandi, dan ada bathtubnya cuy. Terus buat kalian yang hobi masak, dia juga dilengkapi dengan dapur besar, lengkap dengan kompor, rice cooker, microwave, hingga toaster buat kita bikin roti dan di bagian bawahnya kita juga dapat mesin cuci sama kalau kita mau cucu-cuci ada sinknya di sini jadi ini cocok banget buat yang bawa keluarga dan mau stay berlama-lama di sini nah pertanyaannya berapa biayanya ? Untuk yang tipe dua kamar yang kita pakai itu semalamnya 80 USD untuk yang tipe satu kamar bukan studio ya satu kamar itu 60 USD dan buat temen-temen yang pengen cari makanan, di depannya persis ada restoran rempah Indonesia. Makanan Indonesia yang enak-enak banget. Sebenernya kalau dilihat-lihat mirip nggak sih sama rumah adat Dayak Kalimantan? Tapi bedanya apa ya? Kalau ada yang tahu, coba komen di bawah. Bedanya ini di Laos."," tau gak rumah tradisional laos kayak gimana? kayak gini! jadi selama di laos kita ngirep di kunta residense dimana tempat menginaannya itu di rumah tradisional laos atau disemput dengan Hongsang Laos Hongsang Laos ya begitu lah pokoknya jadi rumah ini adalah rumah panggung yang terbuat dari kayu, hardwood atau kayu keras bisa dari berbagai macam dan fondasinya itu ditanem sampai ke bawah rumah yang dipakai di kunta herite sini itu adalah rumah lama yang usia ini sudah lebih dari 100 tahun kemudian dipindah ke sini dan kayunya itu masih bagus hanya saja di treatment ulang biar lebih kuat dan tahan lama meskipun dari luar terlihat dari kayu tapi pas masuk ke dalam wah ini mewah dan nyaman boy kenapa jadi kejajago? tipi yang kita pilih adalah 2 kamar dimana po amaran guli guli hasurnya enak sudah gitu, tiap kamar ada kamar mania ada 2 wastafel tiap bagian rambut dan ada betapnya cuy terus buat kalian yang hobi masak bisa juga dilengkapi dengan dapur besar, lengkap dengan kompor rice cooker, microwave hingga toaster buat kita bikin roti dan di bagian bawahnya kita juga dapat mesin cuci sama kalau kita mau cuci-cuci ada singnya di sini jadi ini cocok banget buat yang bawa keluarga dan mau tinggal lama di sini pertanyaannya berapa biaya? untuk yang tipe 2 kamar yang kita pakai itu semalamnya 80USD untuk yang tipe 1 kamar bukan studio ya, 1 kamar itu 60USD dan buat temen-temen yang pengen cari makanan di depannya ada restoran rempah Indonesia makanan Indonesia yang enak-enak banget sebenernya kalau dilihat mirip gasis sama rumah adat daya kalimantan tapi beda nya apa ya? kalau ada yang tau, coba komen di bawah"
2,https://www.instagram.com/reel/DNHwrh2gnBm/?igsh=YTg3cGIycGtqbG51,Surprise,"One Minute Journey episode berikutnya akan dimulai. Sekarang kita di Laos dan kita sudah ngambil mobil kita Cherry Duo Tigo, Tigo 8 Pro Max dan Tigo 8 yang comfort. Nah pertanyaannya, gimana caranya mobil bisa kita titip di Laos? Jadi kemarin kita dari Malaysia, Singapura, Thailand, Kamboja, Laos, terus Vietnam Mobil kita tinggal di Laos selama 2 bulan. Emang bisa? Jawabannya, Nggak, jadi untuk masuk ke Laos kita itu nggak perlu pakai CPD carnet karena Laos punya permitnya sendiri seperti ini dan kita harus urus ini sebelum masuk ke Laos untungnya kita menggunakan agent. Agent sudah mengurus semua ini dan kita wajib membayar sekitar 100 USD per mobil jadi untuk 2 mobil kita membayar 200 USD tapi permitnya hanya berlaku untuk 1 bulan saja.Nah sayangnya perminta kan cuma sebulan. Gimana caranya biar jadi 2 bulan? Kita coba carilah caranya. Kita kontak KBRI, beacukai, agent, termasuk juga Chery yang ada di Laos. Ternyata memang tidak bisa diperpanjang jadi 2 bulan. Akhirnya kita melakukan sesuatu yang legal dan kalian bisa tiru cara ini.Sebelum permitnya genap 1 bulan, gua mengirim Pala dan Rahmat untuk ke Laos dan mengeluarkan mobilnya ke Thailand. Kemudian sampai Thailand, mobil ini harus masuk lagi ke Laos. Sehingga dia dapat permit lagi renewal 1 bulan lagi. Emang sih agak mahal, karena gua harus kirim 2 orang ke sini, ditambah untuk masuk ke Laos, tambah lagi 100 dolar untuk per mobil, jadi kita ngeluarin 200 dolar lagi, tapi itu cara yang menurut gue paling aman dan legal. Setelah itu, mobil kita taruh lagi, titip lagi di Chery, Laos. Setelah itu, kita balik ke sini, kita mulai perjalanan ke Cina. Memang mahal, tapi itulah resiko overland. Jadi buat teman-teman, kalau misalkan kalian mau overland ke luar negeri, menggunakan mobil dari Plat B, sebisa mungkin ikuti peraturan dan undang-undang yang berlaku. Jangan melanggar, karena nanti urusannya bisa repot. Bahkan kita bisa ngerepotin KBRI dan mencorek nama Indonesia.
Kalau overland, pasti ada aja kejadian-kejadian yang diluar dari perjalanan kita. Sebisa mungkin, carilah cara yang legal. Buat teman-teman yang pengen tahu dan ikutin keseruan kita pas lagi overlanding, bisa langsung aja follow aku ini. Gas!"," 1 milion jurni, episode berikutnya akan dimulai Sekarang kita di Laos dan kita sudah ngambil mobil kita Ceri 2338 Promex dan 38 yang comfort Nah pertanyaannya, gimana caranya mobil bisa kita kekit di Laos? Jadi kemarin kita dari Malaysia, Singapura, Thailand, Kambuja, Laos, terus Vietnam, mobil kita tinggal di Laos selama 2 bulan Emang bisa? Jawabannya? Nggak Jadi untuk masuk ke Laos, kita itu nggak perlu pakai cpd karne Karena Laos punya permitnya sendiri seperti ini Dan kita harus urus ini sebelum masuk ke Laos Untungnya kita menggunakan agent, agent sudah mengurus semua ini dan kita wajib membayar sekitar 100USD per mobil Jadi untuk 2 mobil kita membayar 200USD tapi permitnya hanya berlaku untuk 1 bulan saja Nah sayangnya permitnya kan cuma 1 bulan Gimana caranya biar jadi 2 bulan? Kita coba carilah caranya Kita kontak KBRI, B.A.C.U.K.A, agent termasuk juga ceri yang ada di Laos Ternyata memang tidak bisa diperpanjang jadi 2 bulan Akhirnya kita melakukan sesuatu yang legal dan kalian bisa tiru cara ini Sebelum permitnya genap 1 bulan, gue mengirim pala dan rahmat untuk ke Laos dan mengeluarkan mobilnya ke Thailand Kemudian sampai Thailand mobilnya harus masuk lagi ke Laos Sehingga dia dapat permit lagi, rinyual 1 bulan lagi Emang sih agama hal, karena gue harus kirim gue orang ke sini Ditambah untuk masuk ke Laos, tambah lagi 100USD untuk per mobil jadi kita ngobrol 200USD lagi Tapi itu cara yang menurut gue paling aman dan legal Setelah itu mobil kita taro lagi, titip lagi di ceri Laos Setelah itu kita balik ke sini, kita mulai perjalanan ke China Memang mahal tapi itulah risiko overlaid Jadi buat temen-temen, kalau misalkan kalian mau overlaid ke Llanegri menggunakan mobil dari Platbe, sebisa mungkin ikut tip peraturan dan undang-undang yang berlaku, jangan melanggar Karena nanti urusannya bisa repot, bahkan kita bisa nge-repotin KBRI dan mencorong nama Indonesia Kalau overlaid, pasti ada aja kejadian-kejadian yang diluar dari pergerakan kita sebisa mungkin carilah cara yang legal Buat temen-temen yang pengen tau dan ikutin kesuruan kita pas lagi overlaid bisa langsung aja follow akun ini, gas!"
3,https://www.instagram.com/reel/DM7QsjnRCoa/?igsh=NDQ1NW11a2ZiZW1y,Surprise,"Pepaya di rumah gua tuh agak aneh ya. Biasanya pohon pepaya tuh kan lurus ke atas, nggak bercambang Tapi kita lihat di sini Ini pepayanya cabang tiga. Tuh lihat, satu, dua, tiga ,terus ada batang lagi yang ngebulet di sini agak aneh, tuh Ini dia kayak ngebulet gitu bercabang lagi, ya di sini ada percambangan lagi. Bahkan di sebelah sana ada percabangannya banyak. Satu, dua, tiga, empat, lima. Dan tiap cabangnya itu ada daunnya sama ada pepayanya. Tuh banyak banget pepayanya sampai ke atas. Banyak banget. Gue seumur hidup baru pertama kali ketemu pepaya yang kayak gini dan uniknya ada di rumah sendiri. Kenapa bisa kayak gitu ya? Gue juga gak ngerti. Enak buahnya."," Paya di rumah gue tuh agak aneh ya biasanya ponpapaya tuh kan lurus kata selia bercabang tapi kita lihat di sini ini pepaiannya cabang 3 coba lihat 1,2,3 terus ada batan lagi yang ngebulet disini agak aneh tuh ini dia kayak ngebulet gitu bercabang lagi ya disini ada percabangan lagi ya bahkan di sebelah sana tuh ada percabangan banyak 1,2,3,4,5 dan tiap cabangnya itu ada daunnya sama ada pepayanya tuh banyak banget pepayanya sampai katas banyak banget wah semua rindu baru pertama kali ketemu kepayaan kayak gini dan runiknya ada di rumah sendiri nah kua bisa kayak gitu ya gue juga gak ngerti hehe enak 2 nya"
4,https://www.instagram.com/reel/DNBBEt6Paxj/?igsh=MTB2bXgyMHhwaHI4dA%3D%3D,Surprise,"udah sekitar 2 bulan ini sampah organik di rumah kita olah pakai ini. Ini namanya komposit jadi dia adalah alat penggiling sampah organik dan nanti hasilnya jadi kering bekas buah bekas nasi even sampai tulang-tulang ya tapi kalau tulangnya gede masih dipecahin dulu terus nanti di sini akan dipilih kemudian nanti akan dikeringkan Dan hasilnya itu enggak ada bau dan enggak mengundang lalat atau serangga dan macam-macam ya bisa dijadikan pupuk kompos atau media tanam secara instan enggak perlu ditunggu lama pembusukan dan kawan-kawan apalagi dimasukin jadi biopori ini benar-benar instan caranya gampang banget kalau kita punya sampah langsung aja dimasukin ke sini nih kita tunjukin caranya. Ini pertama ada sampah sisa tulang ayam, uh, bau. Kemudian ada sisa bekas bikin jus pakai slow juicer ya ini ada kulit jeruk sisa bekas Matoa bekas anggur Wow langsung kita masukin saja sekarang kita langsung tutup aja set oh masuk otomatis nyala Oke kita pencet aja dia akan langsung ngegiling nah sekarang udah jadi hari berikutnya ini dia hasilnya jadi kayak gini jadi dia tuh hasilnya kering enggak berbau dan baunya pun juga bau kayak jerami ya kita bisa langsung pakai ini buat media tanam buat pupuk kompos tanpa bau dan yang paling penting adalah kalau kita sebar di tanah dia tuh enggak bikin lalat apalagi sampai ada belatungnya kalau gua biasanya dijadiin tutup buat pohon buat tanaman sama buat kandang ayam biar dia ada cakaran-cakarannya di bagian bawah jadi mudah kan buat teman-teman yang punya sampah organik di rumah pengen diolah sendiri bisa dapat nilai tambah dari buku organik atau media tanamnya misal langsung dari komposit aja buat teman-teman yang pengin coba juga bisa langsung beli komposit aja jadi sama organik dari rumah kalian itu enggak langsung dibuang kita ulang lagi biar bisa lebih bermanfaat dan tentu saja, ramah lingkungan"," udah sekitar 2 bulan ini, sampah organic di rumah kita olah pake ini ini namanya compost it jadi dia adalah alat penggiling sampah organic dan nanti hasilnya jadi kering bekas buah, bekas nasi, even sampai tulang-tulang ya tapi kalau tulang yang gede masih dipecahkan dulu terus nanti disini akan digiling kemudian nanti akan dikeringkan dan hasilnya itu gak ada bau dan gak mengundang lalat atau serangga dan macem-macem ya bisa dijadikan untuk compost atau media tanam secara instan gak perlu ditunggu lama pembusukan dan kawan-kawan apalagi dimasukin jadi biopori ini bener-bener instan caranya gampang banget, kalau kita punya sampah langsung aja dimasukin kesini nih kita tunjukin caranya ini pertama ada sampah sisah tulang ayam eh, bau kemudian ada sisah bekas bikin juice pake slow juicer ya ini ada kulit jeruk, sisah bekas matowa, bekas anggur wow, langsung kita masukin saja sekarang kita langsung tutup aja set oh, langsung otomatisnya lah oke, kita pencet aja on offnya dia akan langsung ngegiling a few moments later nah, sekarang udah jadi dari berikutnya ini dia hasilnya jadi kayak gini jadi dia tuh hasilnya kering, gak berbau dan bau-nya pun juga bau kayak jami ya kita bisa langsung pake ini buat media tanam buat pupuk kompos tanpa bau dan yang paling penting adalah kalau kita sebar di tanah dia tuh gak bikin laled, apalagi sampai ada belatungnya kalau gue biasanya dijadikan pupuk buat pohon, buat tanaman sama buat kandang ayam biar dia ada cakaran-cakaran yang di bagian bawah jadi budah kan buat temen-temen yang punya sampah organic di rumah pengen diolah sendiri bisa dapet nilai tambah dari pupuk organic atau media tanamnya bisa langsung beli komposin aja buat temen-temen yang pengen coba juga bisa langsung beli komposin aja jadi sampah organic dari rumah kalian itu gak langsung dibuang kita olah lagi biar bisa lebih bermanfaat dan tentunya saja ramah lingkungan gas!"
5,https://www.instagram.com/reel/DMz13fQzZsN/?igsh=MWxxcDA3N2VsenpnZw%3D%3D,Proud,"jadi ini dia mobil yang akan kita pakai buat Roadparty nanti BAIC BJ 40 plus yang sudah dimodifikasi dan kalau kalian lihat atasnya sudah kita buka, pintu sudah diganti, bumper juga sudah kita ganti, dan yang paling keren menurut gua adalah pemilihan velg sama bannya. Nah velg kita pakai Black Rhino motifnya itu kayak army style di mana dia punya pelindung di bagian sampingnya ini bisa dicopot dan bisa dipasang kalau misalkan kita lagi di jalanan berbatu terus baret-baret ini bisa kita ganti enggak harus ganti sama pelek-peleknya dan untuk bannya sendiri dia pakai Delium Terra Raider A/TX. Ini ban enggak cuma looksnya keren ya kalau kita lihat kembangnya bagus samping kanan kirinya itu juga ada grip tambahannya kalau misalkan kita lagi offroad kita kempesin. Jadi enggak cuma looks yang keren tapi fungsinya itu juga bisa diandalkan. Nah gimana kalian punya mobil yang mau dipakai offroad? Nah pakai aja ban delium, ban lokal, kualitas internasional.", jadi ini dia mobil yang akan kita pakai buat road party nanti baik bj40 plus yang sudah dipodifikasi dan kalau kalian lihat atas sudah kita buka pintu sudah diganti bumper juga sudah kita ganti dan yang paling keren menurut gue adalah pemilihan Vellek sama bannya nah Vellek kita pakai Black Rhino motifnya itu kayak army style di mana dia punya pelindung di bagian sampingnya ini bisa dicopot dan bisa dipasak kalau misalkan kita lagi di jalanan berbatu terus barek-barek ini bisa kita ganti nggak harus ganti sama pellek-pelleknya dan untuk bannya sendiri dia pakai Delium Terra Rider ATX ini bang nggak cuma luksia keren ya kalau kita lihat kembangnya bagus samping kanan kirinya itu juga ada grip tambahannya kalau misalkan kita lagi offroad kita kempesin jadi nggak cuma luksia keren tapi fungsinya itu juga bisa diandalkan nah gimana? kalian bercam mobil yang mau dipakai offroad nah pakai aja Bandelium Bandlokal Kualitas Internasional
6,https://www.instagram.com/reel/DMz1mj7s6u7/?igsh=MXQzN3ZoNWZsMGk5cg%3D%3D,Surprise,"Bapak ini jualan mie ayam Rp4.000 tapi bisa beli tanah untuk keenam anaknya perjalanan kuliner ke Klaten kali ini tidak hanya membuat perut gua kenyang tapi gue juga bisa mendapatkan pelajaran hidup dari bapak Suro sang penjual mie ayam dengan harga murah. Jualan ini walaupun untungnya sedikit tapi orang itu kalau enggak punya utang makannya apapun enak tidurnya nyenyak. Anaknya 6, tes semua, sekolah semua. Sekolah semua ? Wah luar biasa. Sedikit - sedikit ya bisa beli tanah lah. Walaupun berapa meter, udah semua memiliki tempat. Jadi tiap anak udah punya tanah ? Udah. Bapak beliin ? Beli. Ditemani Ridwan Hanif, kita penasaran banget dengan harga Rp4.000. Kira-kira apa saja sih isinya? Dan gimana ya rasanya ? Sebenarnya 4000 nya klo di Klaten tuh ya oke lah tapi ada baksonya ada toping ayamnya, ayamnya juga banyak, sayur. Makan cuy. Enak sih, enak untuk Rp4.000 untuk harganya Rp4.000 nggak banyak komplen kalau lu makan mie ayam harga Rp4.000 please jangan banyak protes. Bapaknya nih panen pahala juga sih hitungannya luar biasa. Sebenarnya masih banyak cerita tentang Bapak Suro jadi buat Yang penasaran tonton saja video lengkapnya di youtube channel nexcarlos."," Bapak ini jualan mihaya 4000 rupiah tapi bisa beli tanah untuk ke 6 anaknya. Perjalanan kulitnya ke Klaten kali ini tidak hanya membuat perut gue kenyang. Tapi gue juga bisa mendapatkan pelajaran hidup dari Bapak Suro. Sang penjual mihaya dengan harga murah. Jualan ini, bahkan untungnya sedikit. Tapi orang itu kalau nggak punya utang. Matanya apa pun enak. Jurniannya, anaknya 6, sekolah semuanya. Kalau pun nggak uang luar jalan. Tapi, tapi ya, jadi panah lah. Bapak anaknya udah punya tanah. Jadi tiap anak udah punya tanah. Bapak beliin. Di teman Niri Tuan Hanif kita penasaran banget dengan harga 4000 rupiah. Kira-kira apa saja sih isinya dan gimana ya rasanya. Sebenarnya 4000 nya kalau di Klaten tuh ya oke lah. Oke lah. Tapi ada bahasannya. Ayam, ada topping ayamnya. Ayamnya juga banyak. Ayamnya juga banyak. Tahir, makan jul. Enak untuk 4000 rupiah yang ada di harga 4000. Jawabannya kemaren. Kalau lu makan nih ayam, harga 4000. Pilih jangan banyak, kemaren. Kenapa ini? Manen pahala aja sih. Itu, beragak. Sebenarnya masih banyak cerita tentang Bapak Suro. Buat yang penasaran, tonton saja video lengkapnya di YouTube channel Next Carlos."
7,https://www.instagram.com/reel/DMzlY-uxiog/?igsh=bGthOTk2Mm52YTJl,Proud,"DI booth Wuling GIIAS 2025 ini ramai sekali karena baru saja kita melakukan pengumuman pemenang dari kompetisi bisnis, ""Move Your Hustle bersama Wuling Mitra EV"" Ya ini antusiasnya luar biasa banget menurut saya, minggu lalu kita tuh melakukan penjurian itu lebih kayak   Investor Day. Jadi kayak ayo invest di tempat kita gitu. Karena meyakinkan semua. Kebetulan, saya adalah jurinya dan kemarin, sekitar beberapa minggu lalu, kita sudah melakukan penjurian itu seru banget. Kayak Investor Day dibandingkan sebuah kompetisi bisnis. Rasanya kayak kita pengen chip in ke dalam. Di sini kita juga bisa lihat Wuling Mitra EV yang sudah dimodifikasi sesuai dengan kebutuhan bisnis Anda. Gua berharap dengan rekomendasi ini itu bisa memunculkan pengusaha-pengusaha baru yang enggak cuman mikir bisnisnya keren doang, tapi juga sustain dan bisa berkembang di jangka panjang. Jangan lupa buat teman-teman yang penasaran dengan Wuling Mitra EV, bisa cek websitenya Wuling di wuling.id "," Di boot cooling Gias 2025 ini ramai sekali, karena baru saja kita melakukan pengumuman pemenang dari pembentisi business move your hustle bersama Wuling Mitra IV Ya, ini artisiasmennya luar biasa banget menurut saya Minggu lalu kita tuh melakukan penjuriat Itu lebih kayak investor day Jadi kayak ayo invest di tempat kita, karena menyakitkan semua Selamat japan ya Da-dah Kebetulan saya adalah jurinya dan kemarin Sekitar beberapa minggu lalu kita sudah melakukan penjuriat itu seru banget Kayak investor day dibandingkan sebuah kompetisi business Rasanya kayak kita pakai chip in ke dalam Di sini kita juga bisa lihat Wuling Mitra IV yang sudah dimodifikasi sesuai dengan kebutuhan business anda Gue berharap dengan rekompetisi ini, itu bisa memutulkan pesa-pesa baru yang gak cuma mikir businessnya keren doang, tapi juga se-state dan bisa berkembang di Jakap Anjan Jangan lupa buat teman-teman yang penasaran dengan Wuling Mitra IV Bisa cek website yang Wuling di Wuling.id"
8,https://www.instagram.com/reel/DMuCyqkJwwB/?igsh=eTg2ZWtyYTF4ZWxh,Proud,"Sebelumnya, peserta Top 10 Move Your Hustle bisnis on the go kompetisi sudah mempresentasikan proposal ide bisnisnya. Kini juri akan berdiskusi untuk memilih pemenangnya. 10 ide bisnis, tiga juri ahli, satu misi, mencari tiga terbaik. Kreativitasnya itu benar-benar di luar nalar. Banyak sekali ide-ide yang kalau menurut saya itu bisa sangat mudah diaplikasikan dan bisa dibantu dengan kehadiran Wuling Mitra EV. Korelasi yang sangat menarik antara Wuling EV dengan bisnis-bisnis peserta tadi. Misalkan bagaimana mengandalkan renewable energi, mengandalkan bagaimana sustainable environment. Overall semua desainnya menarik ya dan mereka tuh punya utility masing-masing itu menjadikan oh mobil ini unik custom dan memang sudah disesuaikan dengan bisnisnya. Setelah melihat semua ide bisnis, akhirnya kami menemukan pemenangnya. Siapakah Top 3 Move Your Hustle? Tunggu pengumumannya di 31 Juli pada saat GIIAS 2025. Halo Wuling."," Sebelumnya, pasertah top 10 move your hustle, business on the go competition sudah mempersentasikan proposal ide bisnisnya. Gini, juri akan berdiskusi untuk memilih pemenangnya. 10 ide bisnis, 3 juri ahli, satu misi mencari 3 terbaik. Kreativitasnya itu benar-benar diluar nalar. Banyak sekali ide-ide yang menurut saya itu bisa sangat mudah di aplikasikan dan bisa dibantu dengan gehadiran Wuling Mitra EV. Corelasi yang sangat menarik antara Wuling EV dengan bisnis-bisnis terserta tadi, misalkan bagaimana mengandalkan renewable energy, mengandalkan bagaimana sustainable environment. Overall semua desainnya menarik ya dan mereka itu punya utility masih ngasing, itu menjadikan omong-mongolini unik, custom dan memang sudah disesuaikan dengan bisnisnya. Setelah melihat semua ide bisnis, akhirnya kami menemukan pemenangnya. Siapakah top 3 move your hustle? Tunggu pengumannya di 31 Juli pada saatias 2025."
9,https://www.instagram.com/reel/DMrSfkGzVwK/?igsh=MTY5aXFxNW8yejhwcA%3D%3D,Trust,"Harga Mitsubishi Destinator akhirnya diumumkan di GIIAS 2025. Dan harganya mulai dari Rp385 juta saja. Kalian sudah bisa mendapatkan mesin 1.500 cc turbo dan transmisi CVT otomatis. Nah, kalau pengen yang lebih tinggi, tipe Exceed itu di Rp405 juta. Dan tipe Ultimate yang tertinggi itu di Rp465 juta. Nah, ada juga varian yang premium, di mana harganya Rp30 juta lebih mahal dibandingkan si tipe Ultimate biasa. Nah, ini kebetulan kita masuk ke dalam yang Ultimate Premium. Bedanya apa aja? Kalau Ultimate Premium, kita dapat power back door. Terus dapat electric seat. Sama audionya sudah pakai Yamaha Premium Sound. Tapi kalau kalian beli Mitsubishi Destinator, solar guard sudah dipercayai Mitsubishi untuk menjadi kaca film OEM dari Mitsubishi Destinator. Jadi langsung dapat kaca film Solar Guard yang bisa bikin adem dan tampilan mobil jadi lebih keren. Solar Guard sendiri merupakan bagian grup dari Saint Gobain, yang usianya sudah lebih dari 360 tahun. Sedangkan Solar Guard sendiri di Indonesia, itu sudah 30 tahun lebih ada di sini. Solar Guard sendiri memberikan garansi 5 tahun. Udah gitu, dia ada banyak. Ada di 76 kota di Indonesia dan ada 167 outlet yang bisa kalian datangi. Jadi gimana? Asik kan? Dengan pembelian itu, kalian sudah langsung dapat kaca film Solar Guard. Ready to feel comfortable to your next destination."," Harga Mitsubishi Destinator akhirnya diungkannya di Gias 2025 Dan harganya mulai dari Rp385 juta saja Kalian sudah bisa mendapatkan mesin C500CC Turbo dan transmisi CVT automatic Kalau pengen yang lebih tinggi, tipe Exit itu di Rp405 juta Dan tipe Ultimate yang tertinggi itu di Rp465 juta Nah, ada juga varian yang premium Dimana harganya Rp30.5 juta dibandingkan dengan tipe Ultimate biasa Nah, ini kebetulan kita masuk ke dalam yang Ultimate Premium Bidaknya apa saja, kalau Ultimate Premium kita dapat Power Backdoor Terus dapat Electric Seat Sama, audio-nya sudah pakai Yamaha Premium Sound Tapi, kalau kalian beli Mitsubishi Destinator SolarGuard sudah dipercaya Mitsubishi untuk menjadi kaca film OEM dari Mitsubishi Destinator Jadi, langsung dapat kaca film SolarGuard yang bisa bikin Adam dan tampilan mobil jadi lebih keren SolarGuard sendiri merupakan bagian grup dari Sain Gobet Yang Bruce Yang sudah lebih dari 360 tahun Sedangkan, SolarGuard sendiri di Indonesia sudah 30 tahun lebih ada di sini SolarGuard sendiri memberikan garansi 5 tahun Udah gitu, dia ada banyak, ada di 76 kota di Indonesia Dan ada 167 outlet yang bisa kalian datang Jadi, gimana? Asik kan? Sudah pembilihan Destinator, sudah langsung dapat kaca film SolarGuard Ready to feel comfortable to your next destination"
