TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,AccountBalance,cluster
14.09,Debit,San Diego,ATM,70,Doctor,81,5112.21,0
376.24,Debit,Houston,ATM,68,Doctor,141,13758.91,2
126.29,Debit,Mesa,Online,19,Student,56,1122.35,1
184.5,Debit,Raleigh,Online,26,Student,25,8569.06,0
13.45,Credit,Atlanta,Online,26,Student,198,7429.4,0
92.15,Debit,Oklahoma City,ATM,18,Student,172,781.68,1
7.08,Credit,Seattle,ATM,37,Doctor,139,13316.71,2
171.42,Credit,Indianapolis,Branch,67,Retired,291,2796.24,1
106.23,Credit,Detroit,Branch,51,Engineer,86,9095.14,0
815.96,Debit,Nashville,ATM,55,Doctor,120,1021.88,1
17.78,Credit,Albuquerque,Online,52,Engineer,59,7599.52,0
190.02,Debit,Memphis,Online,21,Student,173,1528.81,1
494.52,Credit,Mesa,Branch,24,Student,111,1620.02,1
781.76,Debit,Memphis,ATM,26,Student,123,189.69,1
166.99,Debit,Louisville,Online,18,Student,134,299.93,1
465.45,Debit,Denver,ATM,36,Engineer,129,3465.54,1
555.8,Credit,Austin,Branch,19,Student,158,1131.26,1
492.93,Debit,Columbus,Online,39,Engineer,234,5109.97,0
18.68,Credit,Albuquerque,Branch,59,Retired,106,7948.37,0
71.48,Credit,Columbus,Online,18,Student,169,6568.59,0
59.32,Debit,Los Angeles,Branch,71,Retired,38,5750.89,0
85.77,Debit,Las Vegas,Branch,38,Doctor,93,9146.19,2
52.2,Debit,Atlanta,Online,39,Engineer,120,8974.93,0
145.54,Debit,Raleigh,Online,21,Student,96,1930.96,1
7.49,Credit,Houston,Online,65,Retired,276,3634.67,1
40.32,Debit,Milwaukee,Branch,37,Engineer,95,2686.52,1
127.45,Debit,Las Vegas,Online,44,Doctor,197,1772.06,1
56.17,Debit,Detroit,Branch,27,Student,283,1351.69,1
28.31,Credit,Miami,Online,59,Doctor,20,8334.47,0
59.12,Debit,Baltimore,ATM,29,Doctor,257,9823.64,2
877.81,Debit,Los Angeles,Online,22,Student,150,399.0,1
255.26,Credit,San Francisco,Branch,45,Doctor,50,14815.87,2
124.76,Debit,Seattle,Branch,49,Engineer,45,5764.72,0
78.13,Debit,Milwaukee,Branch,26,Student,145,900.61,1
649.28,Debit,San Jose,ATM,75,Retired,137,4875.86,0
335.63,Debit,Oklahoma City,Online,55,Retired,216,1019.39,1
328.47,Debit,San Antonio,ATM,63,Retired,119,4323.66,0
34.02,Debit,Philadelphia,Online,38,Doctor,19,14214.48,2
241.42,Credit,Charlotte,Online,57,Doctor,116,13357.02,2
55.32,Debit,Tucson,ATM,19,Student,117,241.79,1
304.31,Debit,Louisville,Branch,27,Student,33,868.61,1
435.27,Debit,Chicago,Branch,74,Retired,90,4673.28,0
164.49,Debit,Baltimore,Branch,26,Student,75,1509.27,1
510.24,Debit,Oklahoma City,Online,19,Student,105,781.7,1
626.9,Debit,Denver,Online,26,Student,138,265.51,1
22.01,Credit,Sacramento,Online,41,Engineer,175,1335.09,1
